(PDH-CSV 4.0) (India Standard Time)(-330),\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time,\\WINDOWS10-SAMP\System\Threads,\\WINDOWS10-SAMP\System\Context Switches/sec
42:34.1, ,1859, 
42:35.3,56.68382288,1853,9063.896061
42:36.6,63.68580584,1854,5996.882625
42:38.0,53.16778591,1866,10474.74747
42:39.3,47.65673854,1876,7555.24477
42:40.6,72.73411825,1897,6683.017382
42:41.9,65.80454044,1903,9162.211851
42:43.2,57.70446099,1906,9486.788307
42:44.6,62.48528783,1910,10553.45356
42:45.9,63.38952446,1910,8094.490305
42:47.2,64.1351227,1894,5156.385995
42:48.7,76.73366416,1908,5558.219079
42:50.1,83.14793,1873,3804.196986
42:51.5,73.27153544,1873,3045.089793
42:53.0,58.40458341,1878,6146.564179
42:54.4,60.02658971,1865,9588.316162
42:55.9,57.53298472,1873,8882.25144
42:57.4,60.61074621,1876,8746.3468
42:58.8,64.69367102,1875,9914.454871
43:00.3,55.07877456,1869,10282.45236
43:01.7,51.5764627,1871,8765.95161
43:03.1,48.15087656,1871,7138.658099
43:04.4,56.1552973,1880,5203.525841
43:05.7,65.43027849,1880,3483.405603
43:07.0,74.8953423,1883,3601.15685
43:08.4,85.21359021,1886,3219.615971
43:09.6,67.03986023,1890,2969.418734
43:11.0,60.98754367,1885,6703.430795
43:12.3,65.08296508,1885,7136.913167
43:13.6,56.00043621,1887,7080.813521
43:14.9,45.80922359,1887,7597.648441
43:16.1,55.35454099,1862,6073.924145
43:17.3,43.3195849,1859,7572.670024
43:18.5,46.77509509,1859,4250.803243
43:19.7,51.99232471,1859,4071.812066
43:20.9,42.53354809,1858,5554.373844
43:22.0,52.96521759,1887,6790.554001
43:23.2,64.64241155,1906,9046.88495
43:24.4,59.67921848,1910,9431.112464
43:25.6,56.54495878,1912,9609.418592
43:26.7,39.81109093,1865,3729.352443
43:27.9,40.38679337,1861,7183.328416
43:28.9,47.48531928,1862,7998.429829
43:30.0,34.35314653,1861,7691.59699
43:31.0,38.60282295,1867,8334.060063
43:32.1,59.53114821,1867,4328.523808
43:33.2,54.4889769,1866,4322.070168
43:34.2,44.67177311,1864,5057.649604
43:35.3,51.91408624,1860,4280.430925
43:36.4,45.81839721,1860,4321.405986
43:38.4,41.69154698,1861,4871.432634
43:39.4,48.11106639,1866,7044.62105
43:40.3,55.45749657,1871,5728.982277
43:41.3,55.52715158,1879,6726.190664
43:42.2,47.71770571,1876,6995.353516
51:56.4, ,1879,6355.574466
51:57.3,22.59226501,1876,4998.940398
51:58.3,24.28620438,1873,7524.161614
51:59.3,42.12158807,1867,7095.704596
52:00.2,44.99510034,1867,3381.238633
43:38.0,99.99985102,1863,3706.055445
43:38.9,33.56418208,1864,8193.914626
43:39.9,26.53835791,1864,5302.724833
43:41.0,30.15321947,1860,5998.91815
43:42.0,30.88317692,1860,6090.820033
43:43.0,34.0794182,1852,6558.353791
43:43.9,34.0188043,1851,7476.215017
43:44.9,24.0923338,1827,6436.007278
43:46.0,48.40205555,1823,7762.402213
43:46.9,51.03502826,1824,5339.121292
43:48.0,46.60765471,1822,9563.666681
43:49.1,44.98571515,1823,8498.425201
43:50.2,44.08010434,1822,3424.921947
43:51.3,52.00072539,1819,4377.68445
43:52.4,43.68561741,1821,7085.134151
43:53.5,39.05311353,1821,10988.32645
43:54.6,34.45893894,1812,11014.93891
43:55.7,36.19324777,1807,12085.89377
43:56.8,45.39076609,1807,9528.719389
43:57.9,39.6036439,1800,8485.543663
43:59.0,31.97462475,1787,10091.7233
44:00.0,56.15780159,1787,4599.897387
44:00.9,46.64288426,1788,5297.019986
44:01.9,26.83669523,1778,5611.133633
44:02.9,27.60183645,1778,6580.20149
44:04.0,28.96206303,1779,8728.330946
44:05.0,29.49991305,1779,9757.350239
44:05.9,33.04005149,1779,9328.628267
44:06.9,59.99103699,1805,8495.525118
44:07.9,43.52665277,1818,9116.791557
44:09.0,44.12267543,1823,7145.265344
44:09.9,47.04681176,1824,3577.665104
44:11.0,56.9859201,1825,3352.877047
44:12.0,49.89648375,1839,5559.442301
44:13.0,41.95105919,1837,10759.68247
44:14.0,38.64020141,1842,10261.87972
44:15.0,31.90292691,1841,11376.959
44:15.9,33.52833981,1845,8583.225667
44:17.0,21.73386156,1842,5473.110426
44:18.0,26.30230655,1820,8670.61283
44:19.0,30.53039967,1818,7987.720376
44:20.1,40.37763929,1822,7854.537902
44:21.2,51.94797961,1825,7963.667089
44:22.3,44.10325413,1826,8136.682475
44:23.4,61.13399192,1826,4931.199981
44:24.5,49.67536411,1826,7600.56056
44:25.6,66.45435057,1840,5787.668147
44:26.7,65.38661115,1840,4837.227839
44:27.8,66.12697407,1845,4287.990467
44:28.9,77.5580162,1865,4643.050411
44:29.9,68.07455784,1855,5925.246007
44:30.9,68.60376261,1869,6032.189029
44:31.9,47.09638143,1870,8557.922804
44:32.9,34.53090018,1866,9703.146841
44:33.9,41.43629589,1864,11023.61838
44:34.9,38.06637524,1858,10122.11408
44:35.9,47.03064204,1862,5484.399924
44:36.9,47.35530478,1864,7100.24964
44:37.9,29.31642385,1864,7340.930878
44:38.9,33.32760819,1868,4878.961991
44:39.8,30.27421177,1870,11417.80988
44:40.7,76.13946059,1869,3275.677727
44:41.6,54.35147776,1868,4428.773315
44:42.5,33.16719001,1867,4251.977029
44:43.4,24.04428918,1867,6990.068931
44:44.3,16.74504198,1867,11101.68695
44:45.2,14.06480622,1866,5154.686641
44:46.0,11.47718719,1868,4239.585499
44:46.9,6.732277032,1868,2453.954786
44:47.8,5.861306664,1864,1540.49347
44:48.7,14.25168936,1860,2041.411633
44:49.5,23.51751458,1857,2230.7626
44:50.3,6.493181722,1854,2385.083712
44:51.1,13.0999272,1857,2615.59346
44:51.9,13.0223613,1821,2290.966855
44:52.7,7.220834835,1821,3383.185558
44:53.5,0.967935251,1819,2451.389428
44:54.3,0.027710941,1810,2201.074616
44:55.1,0,1811,1829.346101
44:55.9,0,1794,2089.408071
44:56.7,17.18309188,1793,2932.45391
44:57.4,3.003533249,1800,6620.679029
44:58.1,3.013440661,1800,3660.199864
44:58.9,0,1796,2441.270011
44:59.6,10.0281684,1798,2447.347069
45:00.3,12.38195063,1798,4485.429281
45:01.0,37.81052523,1803,3608.54467
45:01.7,41.28908912,1803,3488.43439
45:02.4,36.31171316,1806,3920.587051
45:03.2,6.940703361,1804,3902.182793
45:03.9, ,1807,5079.14992
45:05.2, ,1804,3007.15014
45:05.8, ,1803,3040.019489
45:06.5, ,1803,3287.384551
45:07.1, ,1801,2647.471895
45:07.8, ,1799,1829.902165
45:08.4, ,1800,3147.940617
45:09.1,14.86326227,1801,2326.076325
45:09.7,0,1799,1894.306296
45:10.4,14.28289928,1811,3919.099215
45:11.1,0,1827,7090.361092
45:11.8,14.12811548,1854,9327.502867
45:12.5,0,1835,5571.235139
45:13.2, ,1834,2642.712991
45:14.0,0,1845,6715.41855
45:14.7,0,1839,2803.112694
45:15.4,0,1841,2304.039122
45:16.1, ,1841,1922.51622
45:16.8,0,1844,2267.159985
45:17.6,15.74604606,1842,3811.203856
45:18.4,28.81994084,1854,3934.95122
45:19.1,24.68816963,1845,4827.161312
45:19.9,36.12285594,1858,8773.423997
45:20.7,30.63689408,1858,7162.873042
45:21.5,8.60502431,1845,6213.8099
45:22.3, ,1836,3945.354773
45:23.0,0,1837,3221.427208
45:23.9,15.08137307,1848,4090.946518
45:24.6,15.6885441,1847,1959.941867
45:25.5,3.190418962,1847,1710.22631
45:26.3,1.468930606,1847,1283.893708
45:27.2,4.169437891,1847,1216.57573
45:28.1,1.259490579,1848,2885.376279
45:28.9,8.165919539,1848,2498.325247
45:29.8,6.460585941,1848,1813.434778
45:30.6,2.965869057,1846,2311.533546
45:31.5,0.801595708,1847,1822.246433
45:32.3,3.865062709,1852,2041.315953
45:33.2,20.5731312,1853,2676.689668
45:34.1,49.04493351,1852,2468.142888
45:35.1,33.67845783,1846,4028.82707
45:36.0,31.08130535,1835,6950.560905
45:37.0,14.12686138,1834,3483.584068
45:37.9,17.48279724,1834,2889.306585
45:38.9,16.3451644,1833,4328.784728
45:39.8,13.70812628,1836,4375.988604
45:40.8,13.60669626,1835,2883.341781
45:41.7,10.6835371,1835,2181.659147
45:42.7,23.43185045,1838,2369.284583
45:43.7,18.31873107,1840,1143.593734
45:44.7,33.13130029,1827,3463.622339
45:45.8,24.21192269,1811,4780.174195
45:46.8,42.47439961,1800,5261.949944
45:47.8,21.74080345,1799,1060.553848
45:48.9,23.49705372,1800,3391.728261
45:49.9,17.22288284,1799,2576.387344
45:51.0,20.78578966,1800,1673.992845
45:52.0,20.2505215,1801,1952.584454
45:53.1,19.15251918,1800,3410.195903
45:54.2,32.67697329,1794,3181.462863
45:55.3,48.76708747,1796,2278.413273
45:56.4,31.70331026,1800,3991.652183
45:57.6,32.09544518,1798,4691.387342
45:58.7,27.91332175,1784,2315.625868
45:59.9,28.26888023,1782,2437.616345
46:01.1,37.52448508,1783,4205.192191
46:02.2,44.44488249,1778,1843.708128
46:03.3,33.46203452,1775,1213.699924
46:04.5,27.46541323,1768,821.1444496
46:05.7,42.30117323,1767,2180.255662
46:07.0,33.48164576,1767,1303.642676
46:08.3,35.78396253,1766,1286.794959
46:09.5,36.28978856,1769,961.7914504
46:10.7,30.90562649,1769,962.5421203
46:12.0,35.31002244,1771,1422.559853
46:13.3,32.53654158,1771,1492.032586
46:14.6,36.45056878,1761,905.9587707
46:15.8,32.57721414,1762,1489.212409
46:17.1,34.14190281,1756,1451.314073
46:18.4,35.04116443,1753,1176.309395
46:19.8,40.95843573,1751,1280.737578
46:21.2,38.41043062,1750,1227.707715
46:22.6,43.67331341,1745,1789.11739
46:24.0,47.20643192,1745,2433.330933
46:25.4,50.34611696,1744,2332.202337
46:26.7,43.60063961,1744,4386.002744
46:28.1,41.63444171,1744,4474.546517
46:29.5,40.60065415,1744,4110.801795
46:30.9,39.02180366,1745,2548.619706
46:33.6,35.53943404,1745,1983.535326
46:34.8,31.73968141,1745,1597.236555
46:36.0,32.80027095,1745,2182.687155
46:37.3,34.1153937,1744,1174.232377
46:38.5,35.26278648,1742,1213.059953
46:39.8,35.93030251,1741,1809.869588
46:41.0,29.52235791,1743,2175.615007
46:42.3,34.95624614,1741,2116.375706
46:43.6,39.20431963,1742,2198.361003
46:44.8,34.0102352,1741,1130.199028
46:45.9,24.96960912,1739,514.5964841
46:47.0,25.36675376,1739,514.8987898
46:48.2,29.42509353,1733,713.7038547
46:49.3,45.67259416,1733,2131.389454
46:50.4,51.47926207,1736,4017.003809
46:51.6,49.79405816,1769,5155.662134
46:52.7,43.29484631,1793,4056.429396
46:53.8,44.08413544,1809,7523.620873
46:55.0,70.85697307,1828,4477.969878
46:56.0,59.0494603,1828,4247.006564
46:57.1,38.78093546,1836,4942.599867
46:58.1,45.80947973,1835,8820.698263
46:59.1,23.26196384,1795,4886.442888
47:00.1,17.87836082,1798,2566.575665
47:01.1,15.25208804,1796,3224.226855
47:02.1,17.32726172,1796,920.9370079
47:03.1,16.21878407,1788,1599.975581
47:04.2,17.50199462,1762,2150.031594
47:05.2,19.90735878,1747,3733.110757
47:06.2,49.01336604,1746,2123.365955
47:07.1,37.15933566,1746,3437.463862
47:08.0,8.956001223,1746,1643.412674
47:08.9,8.588076116,1749,1820.022445
47:09.8,15.87813374,1749,2089.429881
47:10.7,14.07439564,1751,1684.637951
47:11.7,9.213094536,1752,913.9611422
47:12.6,15.99402513,1740,2147.060103
47:13.5,13.09620204,1744,1552.543777
47:14.4,22.70432159,1744,2089.381521
47:15.3,22.14662093,1744,3536.01765
47:16.1,9.462057473,1746,1821.417529
47:16.9,2.327654257,1744,2612.028696
47:17.8,12.19566754,1767,4852.577989
47:18.6,3.774477854,1747,3168.968873
47:19.4,33.51938816,1744,3822.605145
47:20.2,10.04778262,1743,3388.251281
47:21.0,20.06443438,1744,6903.98426
47:21.9,30.96241381,1744,2969.287157
47:22.7,11.82291257,1740,3625.228497
47:23.5,0.172925115,1741,3328.048529
47:24.3, ,1740,1874.574148
47:25.0,21.16168398,1749,6706.03514
47:25.8,21.47777146,1768,6394.492662
47:26.5,3.165065291,1736,3224.483764
47:27.2, ,1735,619.5665676
47:28.0,5.569190817,1735,990.2678461
47:28.7,1.498737817,1735,1371.549115
47:29.4,0,1738,2003.210166
47:30.2,1.474532311,1738,1314.82301
